Name,City,CuisineStyle,Ranking,Rating,NumberofReviews
"Mama Makan, Indonesian Kitchen",Amsterdam,"['Indonesian', 'Vegetarian Friendly', 'Vegan Options']",717,4.5,50
Spuistraat 122 Italian Restaurant,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options']",718,4.5,117
Spaghetteria Pasta Bar,Amsterdam,"['Italian', 'European', 'Mediterranean', 'Vegetarian Friendly']",719,4.5,50
NJOY cocktailbar,Amsterdam,['Contemporary'],720,4.5,142
The Taste of Vietnam,Amsterdam,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",721,4.5,150
Laliberla Ethiopian Restaurant,Amsterdam,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options']",722,4.5,128
Pont 13 Food & Drinks,Amsterdam,"['Seafood', 'European', 'Dutch', 'Vegetarian Friendly']",723,4,131
Na Siam,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",724,4.5,134
Bij Paul,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly']",725,4.5,49
Bagels & Beans Veemkade,Amsterdam,"['Contemporary', 'Healthy', 'Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",726,4.5,103
Ciao Bella Amsterdam,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly']",728,4.5,74
Restaurant La Cacerola,Amsterdam,"['European', 'International', 'Gluten Free Options']",729,4.5,132
Coco's Outback,Amsterdam,"['Bar', 'Gastropub', 'Pub', 'Australian', 'Vegetarian Friendly']",730,3.5,426
Divan,Amsterdam,"['Turkish', 'Middle Eastern', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",731,4.5,128
Ponte Arcari,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",732,4,294
Rangoli Restaurant,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",733,4,184
Cafe-Restaurant IL Panorama,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",734,4,345
Grand Cafe-Restaurant 1e klas,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",735,4,308
Cafe Binnen Buiten,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub']",736,4,90
Cafe de Bazel,Amsterdam,"['Dutch', 'Cafe', 'International', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",737,4.5,58
Allstars,Amsterdam,"['Bar', 'European']",738,4,436
Cafe Zurich,Amsterdam,"['Dutch', 'Cafe', 'European', 'Grill', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",739,4,173
De Veranda,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",740,4,183
Restaurant As,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",741,4,225
De Vergulde Gaper,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",742,4,181
Restaurant Faam,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",743,5,39
Bollywood Indian Restaurant,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",744,4.5,215
Restaurant Freud,Amsterdam,"['Dutch', 'European', 'Mediterranean', 'Vegetarian Friendly']",745,4.5,67
foodcrib,Amsterdam,"['Street Food', 'Fast Food', 'European', 'American', 'Vegetarian Friendly']",746,4,129
G's,Amsterdam,"['Cafe', 'European', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",747,4,144
Tia Rosa,Amsterdam,"['European', 'Spanish', 'Mediterranean', 'Vegetarian Friendly']",748,4,189
Staring at Jacob x Ku West,Amsterdam,"['American', 'Bar', 'Japanese', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",749,4,146
Bistro Bos,Amsterdam,"['Greek', 'Turkish', 'Italian', 'Seafood', 'Vegetarian Friendly', 'Vegan Options']",750,4.5,54
Stach Cafe,Amsterdam,"['American', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",751,4.5,47
Restaurant O Sole Mio,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",752,4,190
Le Pain Quotidien - Beethoven,Amsterdam,"['European', 'Cafe', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",753,4.5,127
Cafe De Blaffende Vis,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'Pub', 'European']",754,4.5,158
Skyrestaurant Pi,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",755,4,158
The Stones - Bar & Bistro,Amsterdam,"['Bar', 'Pub', 'Vegetarian Friendly']",756,4.5,55
The Fat Dog,Amsterdam,"['American', 'Fast Food']",757,4,159
Maz Mez,Amsterdam,"['Lebanese', 'Middle Eastern', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",758,4.5,60
Brasserie Baton,Amsterdam,"['Cafe', 'European', 'Dutch', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",759,4,173
Bella Storia,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",760,4.5,114
Bar Moustache,Amsterdam,"['Italian', 'Bar', 'European', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options']",761,4,214
Trattoria Toto,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",762,4,186
Burgermeester,Amsterdam,"['American', 'Vegetarian Friendly', 'Vegan Options']",763,4.5,44
Dragon City,Amsterdam,"['Chinese', 'Asian', 'Fusion', 'Vegetarian Friendly']",764,4,213
Herengracht Restaurant & Bar,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",765,4,363
Hosokawa,Amsterdam,"['Grill', 'Japanese', 'Sushi', 'Asian', 'Gluten Free Options', 'Vegetarian Friendly']",766,4,151
East Harbour Seafood Restaurant,Amsterdam,"['Chinese', 'Seafood', 'Asian', 'Vegetarian Friendly']",767,4,104
Martinot,Amsterdam,"['European', 'Vegetarian Friendly']",768,4,93
Antonio's Ristorante Italiano,Amsterdam,"['Italian', 'Pizza', 'European', 'Grill', 'Vegetarian Friendly']",769,4,396
Oud-Zuid,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",770,4,145
Soup en Zo,Amsterdam,"['Soups', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",771,4.5,97
Cantinetta Wine & Pasta,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",772,4.5,154
Me Naam Naan,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly']",773,4.5,122
La Place Restaurant,Amsterdam,"['Mediterranean', 'European', 'Vegetarian Friendly']",774,4,170
Pekelhaaring,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",775,4,138
da portare VIA Leliegracht,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",776,4.5,153
Proeflokaal de Ooievaar,Amsterdam,['Pub'],777,4.5,53
Chao Phraya,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly']",778,4,188
De Oesterbar,Amsterdam,"['Dutch', 'Seafood', 'European']",779,4,290
de zagerij,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",780,4,133
Mashua,Amsterdam,"['Peruvian', 'South American']",781,4.5,223
Cora,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options']",782,4.5,62
Happyhappyjoyjoy West,Amsterdam,"['Chinese', 'Asian', 'Thai', 'Vietnamese', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",783,3.5,331
Le Due Sicilie Ristorante Pastificio Italiano,Amsterdam,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",784,4.5,38
Loetje in De Pijp,Amsterdam,"['Steakhouse', 'Dutch', 'European', 'Pub']",785,4,64
Elsa's Jazz Cafe,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub']",786,4.5,79
Eetcafe Ibis,Amsterdam,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options']",787,4.5,60
Le Mortier,Amsterdam,"['Dutch', 'European', 'Cafe', 'Vegetarian Friendly']",788,4.5,121
Rancho Argentinian Grill I,Amsterdam,"['Steakhouse', 'Bar', 'Barbecue', 'Argentinean', 'South American']",789,3.5,472
Sichuan Food,Amsterdam,"['Chinese', 'Asian', 'Vegetarian Friendly']",790,4.5,196
Het Stadspaleis,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",791,5,39
Gallery 3,Amsterdam,"['Dutch', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",792,5,28
Cafe Langereis,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub']",793,4.5,104
"Vergulden Eenhoorn - cafe, restaurant, hotel",Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",794,4,108
Slowth Brunch,Amsterdam,"['Asian', 'Taiwanese', 'Vegetarian Friendly', 'Vegan Options']",795,4.5,24
Raan Phad Thai 2,Amsterdam,"['Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",796,4.5,94
Songkran,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly']",797,4.5,68
O MAI,Amsterdam,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",798,4,94
Tandoor Special Indian Restaurant,Amsterdam,"['Indian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",799,4,151
Cafe De Spuyt,Amsterdam,"['Bar', 'Pub', 'Dutch', 'European']",800,4.5,61
Restaurant CHI,Amsterdam,"['Chinese', 'Asian', 'Seafood', 'Sushi', 'Vegetarian Friendly', 'Vegan Options']",801,4.5,62
Donnies,Amsterdam,"['Bar', 'Gastropub', 'Street Food', 'Vegetarian Friendly', 'Vegan Options']",802,4.5,65
MOJO,Amsterdam,['Bar'],803,4.5,74
Zus en Zus,Amsterdam,"['European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",804,4.5,124
Welcome to Italy- Pasta & Pizza,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",805,4.5,38
The Frits,Amsterdam,"['American', 'Bar', 'Pub', 'European', 'Vegetarian Friendly']",806,4.5,69
Oriental Restaurant Ruby,Amsterdam,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",807,4.5,94
Surya,Amsterdam,"['Indian', 'Nepali', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",808,4.5,131
Hoogendam,Amsterdam,"['French', 'Dutch', 'Bar', 'European', 'Asian', 'Vegetarian Friendly']",809,4,103
De Pizzakamer,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",810,4.5,87
Bar Spek,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",811,4,142
Venster33,Amsterdam,"['Dutch', 'European', 'Bar', 'Vegetarian Friendly', 'Vegan Options']",812,4,91
Cafe Americain Amsterdam,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",813,3.5,722
meneer Van Loon,Amsterdam,"['French', 'Italian', 'Vegetarian Friendly', 'Vegan Options']",814,5,19
Miss Korea,Amsterdam,"['Barbecue', 'Asian', 'Korean']",815,4,177
LA BOCA,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'European', 'Argentinean', 'South American']",816,3.5,338
Henri Willig Cheese farm store & lunchroom Warmoes,Amsterdam,"['European', 'Dutch', 'Vegetarian Friendly']",817,4,169
SOTTO - pizza legale,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",818,4,134
Restaurant DREAM,Amsterdam,"['Japanese', 'International', 'Sushi', 'European', 'Asian', 'Grill', 'Fusion', 'Middle Eastern', 'Gluten Free Options']",819,4.5,215
Water en Brood,Amsterdam,"['American', 'Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options']",820,5,33
Cafe Panache,Amsterdam,"['Dutch', 'Bar', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",821,4,183
Restaurant I-Dock,Amsterdam,"['European', 'Vegetarian Friendly', 'Gluten Free Options']",822,4,213
EXKi Amsterdam CS,Amsterdam,"['European', 'Soups', 'Cafe', 'Vegetarian Friendly', 'Vegan Options']",823,4.5,59
il palio,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",824,4,258
Teddy's Corner,Amsterdam,"['European', 'Vegetarian Friendly', 'Gluten Free Options']",825,4,229
Wing Kee,Amsterdam,"['Chinese', 'Asian', 'Vegetarian Friendly']",826,4,179
Aran Irish Pub,Amsterdam,"['Irish', 'Bar', 'European', 'British', 'Pub', 'Vegetarian Friendly']",827,3.5,595
Renzo's,Amsterdam,"['Italian', 'European', 'Delicatessen', 'Vegetarian Friendly', 'Vegan Options']",828,4,106
Japan Inn Yakitori,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly']",829,4.5,93
Festina Lente,Amsterdam,"['Bar', 'European', 'Dutch', 'Pub']",830,4.5,100
Purna Indian Restaurant,Amsterdam,"['Indian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",831,4.5,144
Cafe Katoen,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly']",832,4,84
In de Olofspoort,Amsterdam,,833,4.5,63
Vlaamsch Broodhuys,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",834,4,204
Lunchroom Wilhelmina,Amsterdam,"['Dutch', 'Cafe', 'European', 'Soups', 'Vegetarian Friendly']",835,4.5,46
Orontes,Amsterdam,"['Mediterranean', 'Turkish', 'Middle Eastern', 'European', 'Vegetarian Friendly', 'Vegan Options']",836,4.5,85
Boi Boi,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",837,4.5,78
Bar Lempicka,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",838,4,205
Paso Doble,Amsterdam,"['Mediterranean', 'Spanish', 'European', 'Vegetarian Friendly']",839,4,132
Hakata Senpachi,Amsterdam,"['Japanese', 'Asian', 'Vegetarian Friendly']",840,4.5,90
Cafe de Tuin,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub']",841,4.5,74
"Bodon, La Grande Brasserie",Amsterdam,['French'],842,5,17
Taqueria Tacobar,Amsterdam,"['Mexican', 'Latin', 'Central American', 'Vegetarian Friendly']",843,4.5,48
't Tuinfeest,Amsterdam,"['Dutch', 'Bar', 'European']",844,4.5,100
Benji's,Amsterdam,"['International', 'Dutch', 'Asian', 'Indonesian', 'Vegetarian Friendly']",845,5,21
Cha House,Amsterdam,"['Japanese', 'Asian', 'Chinese', 'Sushi', 'Vegetarian Friendly']",846,4.5,29
Japans Restaurant Otaru,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly']",847,4,85
Sapporo RAMEN SORA,Amsterdam,"['Japanese', 'Asian', 'Soups', 'Vegetarian Friendly']",848,4.5,41
Garlic Queen,Amsterdam,"['European', 'Vegetarian Friendly']",849,4.5,122
Lloyd Cafe Restaurant,Amsterdam,"['European', 'Dutch', 'Vegetarian Friendly', 'Gluten Free Options']",850,4,102
Vesper Bar,Amsterdam,,851,4.5,110
Grieks Restaurant Plato,Amsterdam,"['Mediterranean', 'European', 'Greek', 'Vegetarian Friendly', 'Vegan Options']",852,4.5,57
Kilimanjaro,Amsterdam,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",853,4.5,98
Sale e Pepe,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly']",854,4.5,36
Bagels & Beans,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",855,4.5,68
Lunchcafe De Spiegel,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly']",856,4,153
Meghna,Amsterdam,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",857,4,97
Bar Baarsch,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",858,4,88
Restaurant Parra,Amsterdam,"['Mediterranean', 'Spanish', 'Vegan Options', 'Gluten Free Options']",859,4.5,64
Restaurant La vallade,Amsterdam,"['French', 'European']",860,4.5,82
Cafe van Daele,Amsterdam,"['Dutch', 'Cafe', 'Pub', 'Bar', 'European']",861,4,81
The Big Apple,Amsterdam,['American'],862,4,63
michiu,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly']",863,4.5,64
Song Kwae Thai Food,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",864,4,151
Eetcafe 't Vliegertje,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub']",865,4,97
Thai & Co,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",866,4,158
Burger Zaken - Oudezijds Voorburgwal,Amsterdam,"['American', 'Bar', 'Fast Food', 'Pub', 'Vegetarian Friendly']",867,4,83
Susies Saloon,Amsterdam,"['Bar', 'Pub']",868,4,139
Rotisserie Amsterdam,Amsterdam,"['American', 'Fast Food', 'Bar', 'European', 'Vegetarian Friendly']",869,4,84
Hennequin & To,Amsterdam,"['European', 'French', 'Vegetarian Friendly', 'Gluten Free Options']",870,5,36
East57,Amsterdam,"['Dutch', 'Bar', 'International', 'European', 'Delicatessen', 'Vegetarian Friendly', 'Gluten Free Options']",871,4,177
Restaurant DS,Amsterdam,"['Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Vegan Options']",872,4.5,52
Poke Perfect,Amsterdam,"['Japanese', 'Hawaiian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",873,4,59
Argentinos,Amsterdam,"['Steakhouse', 'Argentinean', 'South American']",874,3.5,649
Cafe Maxwell,Amsterdam,"['Bar', 'Cafe', 'European', 'Vegetarian Friendly']",875,4,114
Lalotta Pizzabar,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",876,4.5,40
New York Pizza,Amsterdam,"['Italian', 'Pizza', 'Fast Food', 'Vegetarian Friendly']",877,4,253
Burgerij Amsterdam CS,Amsterdam,"['Grill', 'Bar', 'European', 'Vegetarian Friendly']",878,4,229
Royal Tandoori,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",879,4,115
Puccini Espressobar,Amsterdam,"['Italian', 'Cafe', 'European', 'Vegetarian Friendly']",880,4.5,30
Cafe Chris,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub']",881,4.5,41
'cause BEER loves FOOD,Amsterdam,"['Bar', 'Pub', 'International', 'European', 'Vegetarian Friendly']",882,4.5,60
Swych,Amsterdam,"['International', 'Contemporary', 'Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options']",883,5,31
Pazzi Italian Slow Food,Amsterdam,"['Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']",884,4.5,111
Escobar,Amsterdam,"['Spanish', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",885,4.5,47
Caldi e freddi,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",886,4.5,55
Berry,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",887,4.5,52
Restaurant Enoteca Amsterdam,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",888,4,163
The Dutch Weed Burger Joint,Amsterdam,"['European', 'Healthy', 'Dutch', 'Fast Food', 'Vegetarian Friendly']",889,4.5,19
Cafe de Pool,Amsterdam,"['Bar', 'European', 'Pub']",890,4,115
Concertgebouw Cafe,Amsterdam,"['Cafe', 'Dutch', 'European', 'Vegetarian Friendly']",891,4,129
Brasserie NH Schiller,Amsterdam,"['European', 'French', 'Dutch', 'Bar', 'Central European']",892,4,126
Monte Verde,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options']",893,4,67
Rib's factory,Amsterdam,"['American', 'Steakhouse', 'Bar', 'Barbecue']",894,4,74
Plato Loco,Amsterdam,"['Caribbean', 'Central American', 'South American', 'Vegetarian Friendly', 'Vegan Options']",895,4.5,34
La Vina Experience,Amsterdam,"['Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",896,4.5,67
Restaurant Teun,Amsterdam,"['Dutch', 'European', 'International']",897,4,107
Tuin 10,Amsterdam,"['International', 'Healthy', 'Street Food', 'Dutch', 'Mediterranean', 'Vegetarian Friendly']",898,4,83
Cafe de Pels,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European']",899,4.5,57
Stach Food,Amsterdam,"['European', 'Vegetarian Friendly', 'Vegan Options']",900,4.5,64
La Storia della Vita,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",902,4,145
Axum,Amsterdam,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options']",903,4.5,72
Sumo Amsterdam 3 - Nieuwezijds Voorburgwal,Amsterdam,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Grill', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",904,4,166
BoCinq,Amsterdam,"['Bar', 'Pub']",905,4,228
The Black Tiger Cafe,Amsterdam,"['Bar', 'Pub']",906,4,71
Restaurant JOOST,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly']",907,4,86
Rum Barrel,Amsterdam,"['Bar', 'Caribbean', 'International', 'Jamaican', 'Pub', 'Hawaiian', 'Vegetarian Friendly', 'Vegan Options']",908,4.5,31
Senor Mostachio,Amsterdam,"['Mexican', 'Vegetarian Friendly']",909,4.5,92
Sapore Italiano,Amsterdam,"['Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']",910,4,95
Meneer Nieges,Amsterdam,"['Bar', 'International', 'European', 'Fusion', 'Dutch', 'Vegetarian Friendly', 'Vegan Options']",911,4,100
Burgerfabriek Express,Amsterdam,"['American', 'Bar', 'Fast Food', 'European']",912,4,82
Brasserie NeL,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly']",913,4,185
Chipsy King,Amsterdam,"['Dutch', 'Fast Food']",914,4,295
THE ROAST ROOM,Amsterdam,"['Steakhouse', 'International', 'Barbecue', 'Diner', 'American', 'European', 'Gluten Free Options']",915,3.5,369
Sie-Joe,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly']",916,4,143
Meneer Kebab,Amsterdam,"['Turkish', 'Middle Eastern']",917,4.5,18
Julius Bar & Grill,Amsterdam,"['Steakhouse', 'Dutch', 'Bar', 'Barbecue', 'European']",918,3.5,159
Eetcafe Koevoet,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",919,4,131
Cafe Stopera,Amsterdam,"['Dutch', 'Bar', 'European', 'Cafe', 'Pub']",920,4,71
Meneer De Wit Heeft Honger,Amsterdam,"['Mediterranean', 'European', 'Vegetarian Friendly']",921,4.5,42
Argentinian Grill At James,Amsterdam,"['Steakhouse', 'Argentinean', 'Central European', 'Bar', 'European']",922,3.5,297
Petra of Petra's Art Studio,Amsterdam,"['Dutch', 'European']",923,4.5,33
Cafe De Koe,Amsterdam,"['Dutch', 'French', 'Bar', 'International', 'European', 'Vegetarian Friendly']",924,4.5,76
Haringhandel Jonk,Amsterdam,"['Dutch', 'Fast Food']",925,4.5,51
Bar Botanique,Amsterdam,"['Mediterranean', 'Bar', 'Cafe', 'European', 'Dutch', 'Vegetarian Friendly', 'Vegan Options']",926,4,72
Cafe 1890,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",927,4,92
Duende,Amsterdam,"['Bar', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly']",928,4,144
Eat Mode,Amsterdam,"['Chinese', 'Sushi', 'Asian', 'Thai', 'Japanese', 'Vegetarian Friendly', 'Vegan Options']",929,4,149
Dappertutto,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",930,4.5,47
Snow Lion Tibetan Restaurant,Amsterdam,"['Asian', 'Tibetan', 'Vegetarian Friendly']",931,4.5,156
Moti Mahal,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",932,4,320
Stroom,Amsterdam,"['European', 'Dutch', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",933,4.5,29
Caffe Italia 34,Amsterdam,"['Italian', 'International', 'European', 'Steakhouse', 'Mediterranean', 'Vegetarian Friendly']",934,4,110
Restaurant Di Bruno,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",935,4.5,79
Bo Nam,Amsterdam,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",936,4.5,47
Thuis Aan de Amstel,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",937,4,88
Caffe Milo,Amsterdam,"['Bar', 'Cafe', 'European', 'Vegetarian Friendly']",938,4,166
Saint Morris Argentijns Restaurant,Amsterdam,"['Steakhouse', 'Barbecue', 'European', 'Argentinean']",939,4,189
Akitsu,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options']",940,4.5,111
Cafe Schiller,Amsterdam,"['Dutch', 'Bar', 'Vegetarian Friendly']",941,4.5,49
Leeman Doner,Amsterdam,"['Fast Food', 'Turkish', 'Middle Eastern', 'Halal']",942,4.5,74
De Koningshut,Amsterdam,"['Bar', 'Pub', 'Dutch', 'European']",943,4.5,49
India Roti Room,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",944,4.5,33
Impero Romano,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",945,4,41
Cafe ZOUK,Amsterdam,"['Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",946,4,89
De Huyschkaemer,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly']",947,4,91
Sal Meijer,Amsterdam,"['Dutch', 'European', 'Kosher']",948,4.5,59
The Mexican,Amsterdam,"['Mexican', 'Central American', 'Vegetarian Friendly']",949,3.5,463
Adam & Siam Asian-Bistro-Culture,Amsterdam,"['European', 'Thai', 'Grill', 'Vegetarian Friendly']",950,4,91
DopHert,Amsterdam,"['Dutch', 'Vegetarian Friendly', 'Vegan Options']",951,4.5,57
The Breakfast Club,Amsterdam,"['Cafe', 'American', 'European', 'Vegetarian Friendly']",952,4,80
Knus,Amsterdam,"['French', 'Dutch', 'Bar', 'Cafe', 'International', 'European', 'Pub', 'Fusion']",953,5,21
da portare VIA Frans Halsstraat,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",954,4,146
Restaurant Golden Temple,Amsterdam,"['Asian', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",955,4,242
